"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Ethnicity"	"Ethnicity Code"	Count	Population	Crude Rate
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	1106	468739	235.95
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	58	62340	93.04
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	3410	3124143	109.15
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	226	245436	92.08
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	18694	7993587	233.86
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	6555	5620038	116.64
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	174320	62388288	279.41
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	107	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	551	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Hispanic"	"2135-2"	18	96065	18.74
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	1280	417148	306.85
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	85	50574	168.07
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	4973	2599489	191.31
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	299	189251	157.99
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	29960	6064769	494.00
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	10405	4628825	224.79
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	228305	56303271	405.49
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	167	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	816	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	968	338665	285.83
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	50	46456	107.63
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	3795	2429973	156.17
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	188	183253	102.59
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	17999	6369018	282.60
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	6901	4413548	156.36
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	191488	53818621	355.80
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	115	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	584	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Hispanic"	"2135-2"	36	62040	58.03
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	1248	279022	447.28
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	82	33577	244.21
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	5427	1906756	284.62
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	285	131035	217.50
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	26653	4426405	602.14
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	10788	3393381	317.91
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	245221	45336062	540.90
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	175	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	857	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	777	239360	324.62
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	49	32493	150.80
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	3478	1807740	192.39
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	191	132462	144.19
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	15561	4993203	311.64
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	6371	3328288	191.42
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	185078	48040457	385.25
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	96	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	560	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	913	175973	518.83
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	67	21520	311.34
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	5194	1316074	394.66
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	237	83543	283.69
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	21055	3061403	687.76
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	9783	2380917	410.89
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	227288	36240169	627.17
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	136	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	738	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	481	155568	309.19
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	40	20319	196.86
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	2586	1195845	216.25
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	121	87413	138.42
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	10285	3516339	292.49
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	4498	2220716	202.55
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	136733	39095815	349.74
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	67	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	413	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	512	98122	521.80
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	38	12391	306.67
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	3698	806437	458.56
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	131	47963	273.13
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	12628	1827074	691.16
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	6524	1437916	453.71
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	157379	25122990	626.43
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	84	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	503	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	333	136631	243.72
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	16	16432	97.37
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	2004	963574	207.98
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	81	74253	109.09
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	7348	3365184	218.35
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	3477	1851846	187.76
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	97022	39901315	243.15
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	50	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	443	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"Non-Hispanic"	"2186-5"	278	64516	430.90
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Hispanic"	"2135-2"	27	9819	274.98
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	2460	576826	426.47
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	"Hispanic"	"2135-2"	53	33126	160.00
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	7190	1265469	568.17
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	4044	953313	424.20
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	94089	18102317	519.76
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Hispanic"	"2135-2"	49	Not Applicable	Not Applicable
	"Respiratory System"	"22010-22060"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	368	Not Applicable	Not Applicable
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	27	59498357	0.05
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	35	62545821	0.06
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	21	77686472	0.03
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	27	81863203	0.03
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	31	83288890	0.04
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	44	87937808	0.05
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	57	86376429	0.07
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	30	22651117	0.13
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	17	25515649	0.07
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	83	91062897	0.09
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	20	20446255	0.10
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	16	22741944	0.07
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	63	84979293	0.07
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	26	26860662	0.10
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	83	87347663	0.10
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	19	18868634	0.10
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	18	22941084	0.08
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	71	81912125	0.09
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	29	17167942	0.17
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	38	26566454	0.14
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	97	82857754	0.12
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	33	18662644	0.18
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	40	22303145	0.18
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	141	84049066	0.17
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	25	8348415	0.30
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	40	16694766	0.24
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	46	24862338	0.19
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	173	85346899	0.20
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	20	8785090	0.23
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	49	19274947	0.25
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	39	20874612	0.19
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	191	92649394	0.21
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	18	8026084	0.22
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	66	17096494	0.39
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	71	22474886	0.32
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	298	93367478	0.32
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	22	8119223	0.27
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	97	19765691	0.49
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	61	18543430	0.33
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	312	102849574	0.30
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	47	7312907	0.64
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	121	17530687	0.69
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	99	19529364	0.51
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	531	102841804	0.52
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	23	7475406	0.31
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	91	19002859	0.48
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	67	15627590	0.43
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	507	107275921	0.47
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	49	6607416	0.74
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	166	16747555	0.99
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	99	15937222	0.62
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	890	106235065	0.84
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	37	6678615	0.55
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	125	16910792	0.74
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	66	12604200	0.52
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	641	103781807	0.62
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	59	5756437	1.02
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	199	14657560	1.36
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	131	12315825	1.06
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	1268	101619711	1.25
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	"Non-Hispanic"	"2186-5"	16	Not Applicable	Not Applicable
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Non-Hispanic"	"2186-5"	47	5466810	0.86
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	107	13557258	0.79
	"Nose, Nasal Cavity and Middle Ear"	"22010"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	80	9735351	0.82
